"UNIQUE_ID","LAKE","STATION_ID","SAMPLE_NUMBER","LAT","LONG","AGENCY_CODE","METHOD","DATE","REPORTING_VALUE","LIFE_STAGE","FINAL_ID","TAXON_LEVEL","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","ORDER","SUBORDER","FAMILY","SUBFAMILY","TRIBE","GENUS","SPECIES","PICKED","SQUARES","WIND","ONCOLITE","DISTURBANCE","SUBSTRATE_SIZE_D50","SUBSTRATE","DISTANCE_FRAM_SHORE","TEMPERATURE","CONDUCTIVITY","PH","MACROPHYTE"
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",1,NA,"VALVATA","GEN","MOLLUSCA",NA,"GASTROPODA",NA,"HETEROSTROPHA",NA,"VALVATIDAE",NA,NA,"VALVATA",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",40,NA,"CHIRONOMUS","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","CHIRONOMUS",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",2,NA,"CRYPTOTENDIPES","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","CRYPTOTENDIPES",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",2,NA,"PARATANYTARSUS","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSINI","PARATANYTARSUS",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",2,NA,"POLYPEDILUM","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","POLYPEDILUM",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",2,NA,"RHEOTANYTARSUS","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSINI","RHEOTANYTARSUS",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",1,NA,"TANYTARSUS","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSINI","TANYTARSUS",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_1","ONON","ONON_1",1,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",1,NA,"THIENEMANNIELLA","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","ORTHOCLADIINAE",NA,"THIENEMANNIELLA",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_2","ONON","ONON_1",2,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",1,NA,"PISIDIUM","GEN","MOLLUSCA",NA,"BIVALVIA","HETERODONTA","VENEROIDA",NA,"PISIDIIDAE",NA,NA,"PISIDIUM",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
"ONON_1_2","ONON","ONON_1",2,43.1147,-76.2444,"ESF","KICK NET","6/22/2014",100,NA,"CHIRONOMUS","GEN","ARTHROPODA","HEXAPODA","INSECTA","PTERYGOTA","DIPTERA","NEMATOCERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","CHIRONOMUS",NA,12,30,"End","OL","Low",0.346410162,"Sand",43.8,21.88,1660,7.31,1
