"UNIQUE_ID","STATION_ID","AGENCY_CODE","DATE","METHOD","SAMPLE_NUMBER","CONDITION","RICH","RICH_EPT","PCT_EPT","PCT_EPHEMEROPTERA","PCT_TRICHOP_NO_HYDRO","PCT_CLING","PCT_COLEOPTERA","PCT_PREDATOR","PCT_SHRED","PCT_DOM1","HBI","FBI"
"QCNF01_2004","QCNF01","FAIRFAX_COUNTY",2004,"NONE",1,"Reference",30,19,17.8861788617886,5.28455284552846,2.03252032520325,0,0.813008130081301,2.84552845528455,2.4390243902439,40.2439024390244,4.17078189300411,4.2765690376569
"QCNF01_2005","QCNF01","FAIRFAX_COUNTY",2005,"NONE",1,"Reference",40,17,45.2261306532663,33.6683417085427,4.02010050251256,1.50753768844221,7.53768844221105,7.03517587939699,28.643216080402,17.0854271356784,4.80454545454545,4.30604395604396
"QCNF01_2006","QCNF01","FAIRFAX_COUNTY",2006,"NONE",1,"Reference",33,15,44.954128440367,14.6788990825688,2.75229357798165,0,4.58715596330275,10.5504587155963,7.79816513761468,18.348623853211,5.5035,5.2972972972973
"QCNF01_2007","QCNF01","FAIRFAX_COUNTY",2007,"NONE",1,"Reference",29,12,14.7368421052632,3.15789473684211,0.526315789473684,0,2.10526315789474,8.42105263157895,2.10526315789474,42.6315789473684,4.21491712707182,4.56404494382022
"QCNF01_2008","QCNF01","FAIRFAX_COUNTY",2008,"NONE",1,"Reference",25,15,25.9090909090909,9.09090909090909,4.54545454545454,0,2.72727272727273,4.54545454545455,6.36363636363636,45,4.47136363636364,3.5039603960396
"QCNF01_2009","QCNF01","FAIRFAX_COUNTY",2009,"NONE",1,"Reference",26,16,12.6262626262626,5.55555555555556,1.51515151515152,0,1.51515151515152,2.52525252525253,4.04040404040404,56.5656565656566,5.93080808080808,5.65968586387435
"QCNF01_2010","QCNF01","FAIRFAX_COUNTY",2010,"NONE",1,"Reference",34,19,36.81592039801,12.9353233830846,5.4726368159204,0.497512437810945,2.48756218905473,8.45771144278607,6.46766169154229,41.2935323383085,3.346,3.5927374301676
"QCNF01_2011","QCNF01","FAIRFAX_COUNTY",2011,"NONE",1,"Reference",16,9,8.67579908675799,2.28310502283105,0.45662100456621,0,0.91324200913242,0.91324200913242,1.36986301369863,77.6255707762557,3.02614678899083,3.49532710280374
"QCNF01_2012","QCNF01","FAIRFAX_COUNTY",2012,"NONE",1,"Reference",29,16,62.2549019607843,6.37254901960784,5.88235294117647,0,2.94117647058824,5.3921568627451,3.43137254901961,32.3529411764706,3.831,3.65372340425532
"QCNF01_2013","QCNF01","FAIRFAX_COUNTY",2013,"NONE",1,"Reference",34,19,41.5094339622642,10.377358490566,5.66037735849057,0.471698113207547,0.943396226415094,4.71698113207547,4.71698113207547,38.6792452830189,3.3260663507109,3.56614583333333
"QCNF01_2014","QCNF01","FAIRFAX_COUNTY",2014,"NONE",1,"Reference",30,16,49.2462311557789,17.5879396984925,10.0502512562814,0,4.52261306532663,7.53768844221105,13.0653266331658,15.5778894472362,4.23989898989899,4.04518072289157
"QCNF01_2015","QCNF01","FAIRFAX_COUNTY",2015,"NONE",1,"Reference",29,15,45.4545454545455,19.4805194805195,6.92640692640693,0,7.79220779220779,6.92640692640693,19.9134199134199,25.974025974026,4.42217391304348,4.18333333333333
"QCNF01_2016","QCNF01","FAIRFAX_COUNTY",2016,"NONE",1,"Reference",32,17,32.3529411764706,18.1372549019608,2.45098039215686,0,8.33333333333333,6.37254901960784,13.2352941176471,38.7254901960784,5.04438775510204,4.82540540540541
